"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-01",,"17","1","7"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-02",,"10","-11","-8"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-03",,"1","-8","1"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-04",,"4","-8","-7"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-05",,"9","-12","-2"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-06",,"12","-9","11"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-07",,"17","0","0"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-08",,"3","-9","-9"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-09",,"2","-13","-12"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-10",,"6","-14","5"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-11",,"27","5","23"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-12",,"26","9","14"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-13",,"28","14","25"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-14",,"39","24","26"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-15",,"38","17","17"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-16",,"26","14","18"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-17",,"36","15","29"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-18",,"30","24","25"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-19",,"27","24","27"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-20",,"31","27","31"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-21",,"32","31","31"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-22",,"32","28","29"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-23",,"39","29","39"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-24",,"43","26","26"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-25",,"31","20","20"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-26",,"25","15","16"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-27",,"25","15","19"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-28",,"28","6","6"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-29",,"15","6","6"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-30",,"20","5","8"
"USC00257055","RAYMOND 2 E, NE US","40.9536","-96.7442","391.1","2010-01-31",,"33","7","16"
